,Unnamed: 0,PID,Title,Paper-source,Included,Exclusion Reason,Exclusion Reason Subcategory,Keyword,prop_match,where_match
184,184.0,,"Mitchell,Rachel L C;(2006)How does the brain mediate interpretation of incongruent auditory emotions? The neural response to prosody in the presence of conflicting lexico-semantic cues.",Search 2,Exclude,Univariate,,,,
185,185.0,,"Mitchell,Rachel L C;(2007)fMRI delineation of working memory for emotional prosody in the brain: commonalities with the lexico-semantic emotion network.",Search 2,Exclude,Univariate,,,,
186,186.0,,"Moor,Bregtje Gunther;Macks,Zdena A Op de;Guroglu,Berna;Rombouts,Serge A R B;Molen,Maurits W Van der;Crone,Eveline A;(2012)Neurodevelopmental changes of reading the mind in the eyes.",Search 2,Exclude,Univariate,,,,
187,187.0,,"Obleser,Jonas;Kotz,Sonja A;(2010)Expectancy constraints in degraded speech modulate the language comprehension network.",Search 2,Exclude,Univariate,,,,
188,188.0,,"Olbrich,Sebastian;Mulert,Christoph;Karch,Susanne;Trenner,Maja;Leicht,Gregor;Pogarell,Oliver;Hegerl,Ulrich;(2009)EEG-vigilance and BOLD effect during simultaneous EEG/fMRI measurement.",Search 2,Exclude,Univariate,,,,
189,189.0,,"Ortigue,Stephanie;Thompson,James C;Parasuraman,Raja;Grafton,Scott T;(2009)Spatio-temporal dynamics of human intention understanding in temporo-parietal cortex: a combined EEG/fMRI repetition suppression paradigm.",Search 2,Exclude,Univariate,,,,
190,190.0,,"Piazza,Manuela;Giacomini,Eric;Le Bihan,Denis;Dehaene,Stanislas;(2003)Single-trial classification of parallel pre-attentive and serial attentive processes using functional magnetic resonance imaging.",Search 2,Exclude,Univariate,,,,
191,191.0,,"Provost,Jean-Sebastien;Petrides,Michael;Simard,France;Monchi,Oury;(2012)Investigating the long-lasting residual effect of a set shift on frontostriatal activity.",Search 2,Exclude,Univariate,,,,
192,192.0,,"Race,Elizabeth A;Shanker,Shanti;Wagner,Anthony D;(2009)Neural priming in human frontal cortex: multiple forms of learning reduce demands on the prefrontal executive system.",Search 2,Exclude,Univariate,,,,
193,193.0,,"Sachs,Olga;Weis,Susanne;Krings,Timo;Huber,Walter;Kircher,Tilo;(2008)Categorical and thematic knowledge representation in the brain: neural correlates of taxonomic and thematic conceptual relations.",Search 2,Exclude,Univariate,,,,
